source_id,source_type,raw_text,predicted_category,confidence,priority,ticket_title,ticket_description,technical_details,feature_details,metadata
R001,review,App crashes when I try to open my task list after the latest update.,Bug,1.0,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
R002,review,Can't login since update. Keeps showing an error on iOS 17.,Bug,0.9,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
R003,review,Data sync not working between my phone and tablet.,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
R006,review,Amazing app! Love the new reminder feature.,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R007,review,Works perfectly for daily planning. Great experience overall.,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R008,review,App is very slow and takes too long to load tasks.,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R009,review,Too expensive for basic features. Not worth the price.,Complaint,0.8,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R010,review,Poor customer service. No response to my emails.,Complaint,0.9,Critical,[COMPLAINT] Feedback,"Category: Complaint
Priority: Critical
",None,None,{}
R011,review,Love the clean UI and simple design. Works perfectly!,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
E001,email,"App Crash Report. Dear Team, the app crashes on my Samsung Galaxy S21 running Android 14. Steps: Open app → tap Add Task → crash.",Bug,,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
E002,email,"Login Issue. Hi, I cannot login since the last update on my iPhone 14 (iOS 17). Please help.",Complaint,,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
E005,email,"Data Loss Problem. Formal complaint: My tasks disappeared after syncing across devices. Device: OnePlus 11, Android 13.",Complaint,1.0,Critical,[COMPLAINT] Feedback,"Category: Complaint
Priority: Critical
",None,None,{}
E006,email,"General Feedback. Love the app so far, works smoothly for my daily planning.",Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
E007,email,"App Crash Report. App crashes randomly lol. Using Pixel 7, Android 14. Happens when editing tasks.",Bug,0.85,"Medium (Assumed, since the exact severity is not mentioned in the report and ""App crashes randomly lol"" suggests moderate impact)",[BUG]  - Issue,"Category: Bug
Priority: Medium (Assumed, since the exact severity is not mentioned in the report and ""App crashes randomly lol"" suggests moderate impact)
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
R001,review,App crashes when I try to open my task list after the latest update.,Bug,0.95,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
R002,review,Can't login since update. Keeps showing an error on iOS 17.,Bug,0.9,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
R003,review,Data sync not working between my phone and tablet.,Complaint,0.9,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
R006,review,Amazing app! Love the new reminder feature.,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R007,review,Works perfectly for daily planning. Great experience overall.,Praise,0.8,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R008,review,App is very slow and takes too long to load tasks.,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R009,review,Too expensive for basic features. Not worth the price.,Complaint,0.9,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
R010,review,Poor customer service. No response to my emails.,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R011,review,Love the clean UI and simple design. Works perfectly!,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R001,review,App crashes when I try to open my task list after the latest update.,Bug,1.0,"High (Assumed, as the app crashes which is a critical issue but the severity level isn't explicitly mentioned in the report)",[BUG] Not provided - Issue,"Category: Bug
Priority: High (Assumed, as the app crashes which is a critical issue but the severity level isn't explicitly mentioned in the report)
Device Info: Not provided
OS Version: Not provided
Steps to Reproduce: 1. Open the app
","{'device_info': 'Not provided', 'os_version': 'Not provided', 'steps_to_reproduce': '1. Open the app'}",None,{}
R002,review,Can't login since update. Keeps showing an error on iOS 17.,Bug,0.9,High,[BUG] device: iOS device (not specified) - Issue,"Category: Bug
Priority: High
Device Info: device: iOS device (not specified)
OS Version: version: iOS 17
Steps to Reproduce: 1. Attempt to login after updating the app.
","{'device_info': 'device: iOS device (not specified)', 'os_version': 'version: iOS 17', 'steps_to_reproduce': '1. Attempt to login after updating the app.'}",None,{}
R003,review,Data sync not working between my phone and tablet.,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R006,review,Amazing app! Love the new reminder feature.,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R007,review,Works perfectly for daily planning. Great experience overall.,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R008,review,App is very slow and takes too long to load tasks.,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R009,review,Too expensive for basic features. Not worth the price.,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R010,review,Poor customer service. No response to my emails.,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R011,review,Love the clean UI and simple design. Works perfectly!,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
